title,last_name,first_name,institution,google_scholar_id
PI,Zhao,Huimin,U of Ill Urbana-Champaign,R8waAy0AAAAJ
coPI,Burke,Martin,U of Ill Urbana-Champaign,u4hmNXAAAAAJ
coPI,Denmark,Scott,U of Ill Urbana-Champaign,NA
coPI,Peng,Jian,U of Ill Urbana-Champaign,H2JX-RQAAAAJ
coPI,Sinha,Saurabh,U of Ill Urbana-Champaign,7BM1uyYAAAAJ
srPe,Diao,Ying,U of Ill Urbana-Champaign,ZbEs7rsAAAAJ
srPe,Han,Jiawei,U of Ill Urbana-Champaign,Kv9AbjMAAAAJ
srPe,Ji,Heng,U of Ill Urbana-Champaign,z7GCqT4AAAAJ
srPe,Maranas,Costas,PA St U University Park,l3M1PW0AAAAJ
srPe,McHenry,Kenton,U of Ill Urbana-Champaign,NA
srPe,Schroeder,Charles,U of Ill Urbana-Champaign,wIY9shsAAAAJ
srPe,Shukla,Diwakar,U of Ill Urbana-Champaign,Cm2dWNYAAAAJ
srPe,Switzky,Rachel,U of Ill Urbana-Champaign,NA
srPe,White,Maria,U of Ill Urbana-Champaign,ICPpNtkAAAAJ&hl
srPe,Zanibbi,Richard,Rochester Inst of Tech,k6xVb1QAAAAJ
coPI,Grzybowski,Bartosz A.,Northwestern University,hjS0xZ0AAAAJ
